               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11259,            0.039349,            0.029804,            0.014293,                   1,              0.1804,            0.082296,            0.079747,            0.025555,            0.010122,              0.0018,              0.0018,              0.0838
                   1,            0.078119,            0.040259,            0.016261,             0.62634,             0.88463,             0.91167,             0.37674,            0.056756,            0.026082,           0.0026493,           0.0036634,           0.0036634,            0.066663
                   2,             0.07159,            0.032884,           0.0090474,             0.31261,             0.63499,             0.41458,              0.1654,            0.086354,            0.011072,           0.0013323,           0.0054891,           0.0054891,            0.049489
                   3,            0.074499,            0.029247,            0.008009,             0.53646,             0.75343,             0.82833,             0.28383,            0.064743,            0.015126,           0.0012105,           0.0072772,           0.0072772,            0.032277
                   4,            0.067984,            0.029081,           0.0071347,             0.41212,                0.75,             0.72125,             0.28393,            0.072558,            0.011631,           0.0012429,           0.0090278,           0.0090278,            0.015028
                   5,            0.059534,            0.027865,             0.00671,             0.60631,                   1,               0.995,             0.52894,             0.05784,            0.014656,          0.00064502,            0.009505,            0.009505,            0.009505
                   6,            0.052618,            0.026311,           0.0054479,             0.58948,                0.75,             0.58481,             0.44005,            0.045446,           0.0082406,          0.00095338,            0.009505,            0.009505,            0.009505
                   7,            0.049923,            0.027111,           0.0056644,              0.8175,             0.96707,               0.995,             0.64257,            0.030272,            0.012257,          0.00076204,            0.009406,            0.009406,            0.009406
                   8,            0.045009,            0.027346,           0.0050119,              0.9343,             0.98946,               0.995,             0.51002,            0.039009,            0.011025,          0.00090237,            0.009307,            0.009307,            0.009307
                   9,            0.044066,            0.026233,           0.0040524,             0.96163,                   1,               0.995,             0.74622,            0.023033,           0.0075892,          0.00071804,            0.009208,            0.009208,            0.009208
                  10,            0.042472,            0.025174,           0.0043965,             0.96101,                   1,               0.995,             0.64677,            0.031802,           0.0074746,          0.00072054,            0.009109,            0.009109,            0.009109
                  11,            0.041406,            0.025545,           0.0038532,             0.97882,                   1,               0.995,             0.67176,            0.022664,           0.0080866,          0.00075481,             0.00901,             0.00901,             0.00901
                  12,            0.038674,            0.023725,           0.0029047,             0.96482,                   1,               0.995,             0.74648,            0.018964,           0.0072069,          0.00064059,            0.008911,            0.008911,            0.008911
                  13,            0.037985,            0.024523,           0.0035253,             0.96994,                   1,               0.995,             0.69702,            0.023732,           0.0067204,          0.00055381,            0.008812,            0.008812,            0.008812
                  14,            0.037447,            0.023654,           0.0031671,              0.9783,                   1,               0.995,              0.6853,            0.020976,           0.0074679,          0.00051032,            0.008713,            0.008713,            0.008713
                  15,            0.038476,             0.02339,           0.0037173,             0.92836,                   1,               0.995,             0.74743,            0.020767,           0.0078919,          0.00064029,            0.008614,            0.008614,            0.008614
                  16,            0.036618,            0.023913,           0.0031082,             0.95997,                   1,               0.995,             0.74674,            0.021784,           0.0085095,          0.00085732,            0.008515,            0.008515,            0.008515
                  17,            0.035325,            0.024123,           0.0028335,             0.97969,                   1,               0.995,               0.796,            0.019087,           0.0071878,          0.00059823,            0.008416,            0.008416,            0.008416
                  18,            0.035633,            0.023763,           0.0030534,             0.95803,                   1,               0.995,             0.73425,            0.018742,           0.0068516,          0.00052934,            0.008317,            0.008317,            0.008317
                  19,             0.03423,            0.022703,           0.0027997,              0.9487,                   1,               0.995,             0.72284,            0.017464,           0.0086429,          0.00079719,            0.008218,            0.008218,            0.008218
                  20,            0.036132,            0.022346,           0.0027276,             0.97914,             0.97187,               0.995,             0.74636,            0.021641,           0.0089336,          0.00064248,            0.008119,            0.008119,            0.008119
                  21,              0.0333,            0.022426,           0.0028399,             0.96568,                   1,               0.995,             0.82142,            0.013793,           0.0061387,          0.00040311,             0.00802,             0.00802,             0.00802
                  22,            0.034339,            0.022241,            0.002604,             0.97987,                   1,               0.995,             0.78403,            0.017274,           0.0062585,           0.0005781,            0.007921,            0.007921,            0.007921
                  23,            0.033065,            0.022926,           0.0026843,             0.97853,                   1,               0.995,             0.80861,            0.014953,           0.0062302,          0.00044286,            0.007822,            0.007822,            0.007822
                  24,            0.032272,            0.022412,           0.0023678,             0.94315,                   1,               0.995,             0.74732,            0.019292,            0.006011,           0.0004057,            0.007723,            0.007723,            0.007723
                  25,            0.032807,            0.021765,           0.0022515,             0.95713,                   1,               0.995,              0.8587,            0.018906,           0.0068485,          0.00046561,            0.007624,            0.007624,            0.007624
                  26,            0.031641,            0.022091,           0.0022931,              0.9502,                   1,               0.995,             0.82165,            0.013323,           0.0072094,          0.00046829,            0.007525,            0.007525,            0.007525
                  27,            0.031395,            0.022024,           0.0020166,             0.97338,                   1,               0.995,             0.82288,            0.015438,           0.0058877,          0.00045348,            0.007426,            0.007426,            0.007426
                  28,            0.032309,            0.020601,           0.0020579,             0.96305,                   1,               0.995,             0.84575,            0.023553,           0.0055214,          0.00035709,            0.007327,            0.007327,            0.007327
                  29,            0.030957,            0.021483,           0.0018431,             0.95698,                   1,               0.995,             0.71007,            0.021802,           0.0061782,          0.00034652,            0.007228,            0.007228,            0.007228
                  30,            0.030969,             0.02066,           0.0021603,             0.93665,                   1,               0.995,             0.76039,            0.019169,            0.007156,          0.00042712,            0.007129,            0.007129,            0.007129
                  31,            0.030246,            0.020472,           0.0019787,             0.95742,                   1,               0.995,             0.71073,            0.017961,           0.0065688,          0.00042251,             0.00703,             0.00703,             0.00703
                  32,            0.029568,            0.019838,           0.0020715,              0.9674,                   1,               0.995,             0.80908,            0.022356,           0.0060951,          0.00031825,            0.006931,            0.006931,            0.006931
                  33,            0.029149,            0.020991,           0.0016927,             0.97167,                   1,               0.995,             0.79771,            0.020987,            0.005645,          0.00028918,            0.006832,            0.006832,            0.006832
                  34,            0.030244,            0.020666,            0.001763,             0.98009,                   1,               0.995,             0.84652,             0.01883,           0.0062186,          0.00035617,            0.006733,            0.006733,            0.006733
                  35,            0.031073,            0.020609,           0.0018435,             0.97058,                   1,               0.995,             0.73657,            0.020614,           0.0060741,          0.00042035,            0.006634,            0.006634,            0.006634
                  36,              0.0294,            0.019667,           0.0019449,             0.97839,                   1,               0.995,             0.77413,            0.021241,           0.0059884,          0.00034806,            0.006535,            0.006535,            0.006535
                  37,            0.028828,            0.019707,           0.0016459,             0.97598,                   1,               0.995,             0.77383,            0.019701,           0.0052096,          0.00029182,            0.006436,            0.006436,            0.006436
                  38,            0.028338,            0.019803,           0.0019115,              0.9812,                   1,               0.995,             0.77652,            0.016215,            0.005173,          0.00028462,            0.006337,            0.006337,            0.006337
                  39,            0.028985,            0.020326,           0.0019998,             0.96772,                   1,               0.995,             0.83436,            0.015052,           0.0056747,          0.00031246,            0.006238,            0.006238,            0.006238
                  40,            0.027519,            0.019019,           0.0015849,             0.98035,                   1,               0.995,              0.8215,            0.016268,            0.005512,          0.00028927,            0.006139,            0.006139,            0.006139
                  41,            0.027596,            0.019957,           0.0016145,             0.97574,                   1,               0.995,             0.87322,            0.017035,           0.0052356,          0.00023232,             0.00604,             0.00604,             0.00604
                  42,            0.027278,            0.019386,           0.0013726,             0.97708,                   1,               0.995,             0.84727,            0.015766,            0.005675,          0.00029399,            0.005941,            0.005941,            0.005941
                  43,            0.027609,            0.019145,           0.0020927,             0.97553,                   1,               0.995,              0.8594,            0.016372,           0.0054483,          0.00024039,            0.005842,            0.005842,            0.005842
                  44,            0.027697,            0.019049,            0.001773,             0.96855,                   1,               0.995,             0.84746,            0.016535,            0.005358,          0.00024713,            0.005743,            0.005743,            0.005743
                  45,            0.027131,            0.018052,            0.001947,             0.97942,                   1,               0.995,             0.84575,            0.021528,           0.0063345,          0.00025248,            0.005644,            0.005644,            0.005644
                  46,            0.027204,            0.018415,           0.0017929,             0.98128,                   1,               0.995,             0.84945,            0.014276,           0.0055152,          0.00029721,            0.005545,            0.005545,            0.005545
                  47,            0.028103,            0.019157,           0.0016958,             0.97636,                   1,               0.995,             0.87148,            0.021052,           0.0055755,          0.00024551,            0.005446,            0.005446,            0.005446
                  48,            0.027826,            0.018108,           0.0012356,             0.97535,                   1,               0.995,             0.79659,            0.019943,           0.0055467,          0.00023873,            0.005347,            0.005347,            0.005347
                  49,            0.026065,            0.019319,           0.0013015,             0.96376,                   1,               0.995,             0.81002,            0.017993,           0.0052163,          0.00017439,            0.005248,            0.005248,            0.005248
                  50,            0.025796,            0.019166,           0.0015817,             0.97282,                   1,               0.995,             0.82133,            0.017094,           0.0056775,          0.00018281,            0.005149,            0.005149,            0.005149
                  51,            0.025615,            0.018542,           0.0014349,             0.97263,                   1,               0.995,             0.84914,              0.0194,           0.0053101,             0.00021,             0.00505,             0.00505,             0.00505
                  52,            0.025678,            0.018842,           0.0013788,             0.97032,                   1,               0.995,             0.80929,            0.014788,           0.0055649,          0.00018792,            0.004951,            0.004951,            0.004951
                  53,            0.025741,               0.018,           0.0016508,             0.97093,                   1,               0.995,             0.84575,            0.016134,           0.0058789,          0.00021441,            0.004852,            0.004852,            0.004852
                  54,            0.026204,            0.017964,           0.0012693,             0.97646,                   1,               0.995,             0.76022,            0.017985,           0.0059159,          0.00018294,            0.004753,            0.004753,            0.004753
                  55,            0.026157,            0.018274,            0.001594,             0.98088,                   1,               0.995,             0.84825,             0.01688,           0.0050366,          0.00016412,            0.004654,            0.004654,            0.004654
                  56,            0.025545,            0.018083,           0.0014996,             0.97803,                   1,               0.995,              0.8001,            0.016237,           0.0052685,          0.00018897,            0.004555,            0.004555,            0.004555
                  57,            0.025063,            0.018092,           0.0010575,             0.97873,                   1,               0.995,             0.79132,            0.018132,           0.0051438,          0.00017939,            0.004456,            0.004456,            0.004456
                  58,            0.025063,              0.0181,           0.0013613,              0.9782,                   1,               0.995,             0.82394,            0.013481,           0.0051362,          0.00017048,            0.004357,            0.004357,            0.004357
                  59,            0.024853,            0.017292,           0.0012347,             0.98032,                   1,               0.995,             0.85972,            0.017453,           0.0050407,          0.00018226,            0.004258,            0.004258,            0.004258
                  60,            0.025436,            0.017571,           0.0012763,             0.96617,                   1,               0.995,             0.83737,            0.013959,           0.0053196,          0.00016046,            0.004159,            0.004159,            0.004159
                  61,            0.023996,            0.017454,           0.0010934,             0.97016,                   1,               0.995,             0.82257,            0.018087,           0.0047512,          0.00014813,             0.00406,             0.00406,             0.00406
                  62,            0.023276,            0.017411,           0.0011105,              0.9691,                   1,               0.995,             0.84869,            0.016166,           0.0044266,          0.00014551,            0.003961,            0.003961,            0.003961
                  63,            0.025152,            0.017733,           0.0013046,             0.97312,                   1,               0.995,             0.84914,            0.017426,           0.0052636,          0.00016864,            0.003862,            0.003862,            0.003862
                  64,            0.023345,            0.017277,            0.001131,             0.97643,                   1,               0.995,             0.82288,            0.020036,           0.0057357,          0.00019124,            0.003763,            0.003763,            0.003763
                  65,            0.024427,              0.0178,           0.0011885,             0.97819,                   1,               0.995,             0.83578,            0.015969,           0.0057991,          0.00018108,            0.003664,            0.003664,            0.003664
                  66,            0.023608,            0.018073,            0.001214,             0.97513,                   1,               0.995,             0.87232,            0.017042,           0.0048338,          0.00016428,            0.003565,            0.003565,            0.003565
                  67,            0.023635,            0.017788,           0.0011373,              0.9783,                   1,               0.995,             0.82591,            0.016326,           0.0044861,          0.00015349,            0.003466,            0.003466,            0.003466
                  68,            0.024423,            0.017219,           0.0012577,              0.9802,                   1,               0.995,             0.81278,            0.016182,           0.0053121,          0.00015501,            0.003367,            0.003367,            0.003367
                  69,            0.023573,            0.017095,           0.0011514,             0.98107,                   1,               0.995,             0.82794,            0.012235,           0.0054674,          0.00016283,            0.003268,            0.003268,            0.003268
                  70,            0.023418,            0.017035,           0.0010552,              0.9775,                   1,               0.995,             0.88627,            0.011184,           0.0050362,          0.00014596,            0.003169,            0.003169,            0.003169
                  71,            0.022989,            0.016889,           0.0011915,             0.97744,                   1,               0.995,             0.83631,            0.014646,           0.0046749,          0.00012965,             0.00307,             0.00307,             0.00307
                  72,            0.023078,            0.017228,           0.0012418,             0.97357,                   1,               0.995,             0.83631,            0.015212,            0.004666,          0.00013113,            0.002971,            0.002971,            0.002971
                  73,             0.02298,              0.0164,           0.0012201,             0.97401,                   1,               0.995,              0.8142,             0.01473,           0.0048869,          0.00013079,            0.002872,            0.002872,            0.002872
                  74,            0.023059,            0.016926,          0.00097414,             0.97806,                   1,               0.995,             0.87232,            0.015442,           0.0049766,          0.00012882,            0.002773,            0.002773,            0.002773
                  75,             0.02171,             0.01579,           0.0010624,             0.97784,                   1,               0.995,              0.8105,            0.015006,           0.0045505,          0.00011801,            0.002674,            0.002674,            0.002674
                  76,            0.022346,            0.017043,          0.00094803,             0.97679,                   1,               0.995,              0.8955,            0.012956,           0.0046073,          9.6422e-05,            0.002575,            0.002575,            0.002575
                  77,            0.022483,            0.016717,          0.00081656,             0.97746,                   1,               0.995,             0.86161,             0.01406,            0.004685,          9.7544e-05,            0.002476,            0.002476,            0.002476
                  78,            0.021646,            0.016487,          0.00085539,             0.97099,                   1,               0.995,             0.82617,            0.014147,           0.0043209,          9.0877e-05,            0.002377,            0.002377,            0.002377
                  79,            0.022108,            0.016169,           0.0012546,             0.97846,                   1,               0.995,             0.84964,            0.016572,           0.0044311,          9.0009e-05,            0.002278,            0.002278,            0.002278
                  80,            0.021563,            0.016062,          0.00079514,             0.97869,                   1,               0.995,             0.89908,            0.013062,           0.0046698,          8.8371e-05,            0.002179,            0.002179,            0.002179
                  81,            0.022252,            0.015518,          0.00093114,             0.97134,                   1,               0.995,             0.84975,            0.016775,            0.005162,          9.3471e-05,             0.00208,             0.00208,             0.00208
                  82,            0.021749,            0.016036,          0.00082738,             0.97722,                   1,               0.995,             0.83614,            0.014141,           0.0052613,          9.6575e-05,            0.001981,            0.001981,            0.001981
                  83,            0.021996,            0.015123,          0.00084577,             0.97827,                   1,               0.995,             0.84575,            0.014613,           0.0050739,          8.2645e-05,            0.001882,            0.001882,            0.001882
                  84,            0.021189,            0.016251,           0.0007593,             0.97635,                   1,               0.995,             0.84575,            0.013842,           0.0049033,          7.9579e-05,            0.001783,            0.001783,            0.001783
                  85,             0.02182,            0.016772,           0.0011919,             0.97607,                   1,               0.995,             0.82528,            0.014457,           0.0054424,          8.6632e-05,            0.001684,            0.001684,            0.001684
                  86,            0.020839,            0.015976,          0.00080542,              0.9736,                   1,               0.995,             0.84575,            0.014088,           0.0050895,          8.2277e-05,            0.001585,            0.001585,            0.001585
                  87,            0.020815,            0.015599,          0.00087787,             0.97132,                   1,               0.995,             0.87209,            0.013318,           0.0051148,          7.3064e-05,            0.001486,            0.001486,            0.001486
                  88,            0.021016,            0.016227,           0.0011175,             0.97164,                   1,               0.995,             0.82574,            0.014944,           0.0049731,          6.9148e-05,            0.001387,            0.001387,            0.001387
                  89,            0.021168,            0.016724,           0.0010137,             0.97437,                   1,               0.995,              0.8142,             0.01592,           0.0051257,          6.6647e-05,            0.001288,            0.001288,            0.001288
                  90,            0.020647,            0.015595,          0.00075446,             0.97579,                   1,               0.995,             0.87192,            0.016151,           0.0051042,          7.0859e-05,            0.001189,            0.001189,            0.001189
                  91,            0.020021,            0.015968,          0.00091296,             0.97509,                   1,               0.995,             0.84833,             0.01499,           0.0052065,          7.3303e-05,             0.00109,             0.00109,             0.00109
                  92,            0.020547,             0.01569,          0.00076922,             0.97376,                   1,               0.995,             0.84975,            0.015666,           0.0051757,          7.4166e-05,            0.000991,            0.000991,            0.000991
                  93,             0.02056,            0.015827,          0.00097406,             0.97466,                   1,               0.995,             0.87232,            0.014753,           0.0052273,          7.6162e-05,            0.000892,            0.000892,            0.000892
                  94,            0.020201,            0.015657,          0.00070801,             0.97635,                   1,               0.995,             0.84904,            0.015414,           0.0049981,          7.5521e-05,            0.000793,            0.000793,            0.000793
                  95,            0.019946,            0.015939,          0.00090116,             0.97572,                   1,               0.995,             0.84975,            0.014631,           0.0048733,          6.9798e-05,            0.000694,            0.000694,            0.000694
                  96,            0.019707,            0.014973,          0.00086153,             0.97582,                   1,               0.995,             0.87694,            0.013102,            0.004983,          6.8931e-05,            0.000595,            0.000595,            0.000595
                  97,            0.020913,            0.015544,          0.00083134,             0.97756,                   1,               0.995,              0.8506,            0.014294,           0.0051558,          7.0978e-05,            0.000496,            0.000496,            0.000496
                  98,            0.019915,            0.015464,          0.00097643,             0.97725,                   1,               0.995,             0.82702,            0.014669,            0.005278,           7.023e-05,            0.000397,            0.000397,            0.000397
                  99,            0.020428,            0.015095,          0.00088698,              0.9773,                   1,               0.995,             0.82702,            0.014061,           0.0050085,          6.7221e-05,            0.000298,            0.000298,            0.000298
